resultId,raceId,driverId,constructorId,grid_position,position,points,laps,fastestLap,fastestLapRank,fastestLapTime,fastestLapSpeed,statusId
1,18,1,1,1,1,10.0,58,39,2,0 days 00:01:27.452000,218.3,1
2,18,2,2,5,2,8.0,58,41,3,0 days 00:01:27.739000,217.586,1
3,18,3,3,7,3,6.0,58,41,5,0 days 00:01:28.090000,216.719,1
4,18,4,4,11,4,5.0,58,58,7,0 days 00:01:28.603000,215.464,1
5,18,5,1,3,5,4.0,58,43,1,0 days 00:01:27.418000,218.385,1
6,18,6,3,13,6,3.0,57,50,14,0 days 00:01:29.639000,212.974,11
7,18,7,5,17,7,2.0,55,22,12,0 days 00:01:29.534000,213.224,5
8,18,8,6,15,8,1.0,53,20,4,0 days 00:01:27.903000,217.18,5
9,18,9,2,2,9,0.0,47,15,9,0 days 00:01:28.753000,215.1,4
10,18,10,7,18,10,0.0,43,23,13,0 days 00:01:29.558000,213.166,3
11,18,11,8,19,11,0.0,32,24,15,0 days 00:01:30.892000,210.038,7
12,18,12,4,20,12,0.0,30,20,16,0 days 00:01:31.384000,208.907,8
13,18,13,6,4,13,0.0,29,23,6,0 days 00:01:28.175000,216.51,5
14,18,14,9,8,14,0.0,25,21,11,0 days 00:01:29.502000,213.3,4
15,18,15,7,6,15,0.0,19,18,10,0 days 00:01:29.310000,213.758,10
16,18,16,10,22,16,0.0,8,8,17,0 days 00:01:32.021000,207.461,9
17,18,17,9,14,17,0.0,0,0,0,0 days 00:00:00,0.0,4
18,18,18,11,12,18,0.0,0,0,0,0 days 00:00:00,0.0,4
19,18,19,8,21,19,0.0,0,0,0,0 days 00:00:00,0.0,4
20,18,20,5,9,20,0.0,0,0,0,0 days 00:00:00,0.0,4
21,18,21,10,16,21,0.0,0,0,0,0 days 00:00:00,0.0,4
22,18,22,11,10,22,0.0,58,44,8,0 days 00:01:28.736000,215.141,2
23,19,8,6,2,1,10.0,56,37,2,0 days 00:01:35.405000,209.158,1
24,19,9,2,4,2,8.0,56,39,6,0 days 00:01:35.921000,208.033,1
25,19,5,1,8,3,6.0,56,19,7,0 days 00:01:35.922000,208.031,1
26,19,15,7,3,4,5.0,56,53,8,0 days 00:01:36.068000,207.715,1
