resultId,raceId,driverId,constructorId,grid_position,position,points,laps,fastestLap,fastestLapTime,statusId,fastestLapRank
1,1061,830,9,2,1,3,17,14,0 days 00:01:30.013000,1,3
2,1061,1,131,1,2,2,17,17,0 days 00:01:29.937000,1,1
3,1061,822,131,3,3,1,17,17,0 days 00:01:29.958000,1,2
4,1061,844,6,4,4,0,17,16,0 days 00:01:30.163000,1,4
5,1061,846,1,6,5,0,17,16,0 days 00:01:30.566000,1,5
6,1061,817,1,7,6,0,17,17,0 days 00:01:30.640000,1,6
7,1061,4,214,11,7,0,17,17,0 days 00:01:31.773000,1,9
8,1061,20,117,10,8,0,17,17,0 days 00:01:31.687000,1,8
9,1061,847,3,8,9,0,17,17,0 days 00:01:32.208000,1,15
10,1061,839,214,13,10,0,17,16,0 days 00:01:32.183000,1,14
11,1061,832,6,9,11,0,17,10,0 days 00:01:31.991000,1,10
12,1061,842,213,12,12,0,17,17,0 days 00:01:32.072000,1,11
13,1061,8,51,17,13,0,17,12,0 days 00:01:32.139000,1,12
14,1061,840,117,15,14,0,17,12,0 days 00:01:32.210000,1,16
15,1061,841,51,14,15,0,17,14,0 days 00:01:32.457000,1,18
16,1061,852,213,16,16,0,17,14,0 days 00:01:32.270000,1,17
17,1061,849,3,18,17,0,17,17,0 days 00:01:32.143000,1,13
18,1061,854,210,19,18,0,17,15,0 days 00:01:32.567000,1,19
19,1061,853,210,20,19,0,17,3,0 days 00:01:33.462000,1,20
20,1061,815,9,5,20,0,16,6,0 days 00:01:31.465000,76,7
21,1065,822,131,1,1,3,18,9,0 days 00:01:23.540000,1,3
22,1065,830,9,3,2,2,18,9,0 days 00:01:23.502000,1,2
23,1065,817,1,5,3,1,18,17,0 days 00:01:24.291000,1,6
24,1065,846,1,4,4,0,18,9,0 days 00:01:24.554000,1,7
25,1065,1,131,2,5,0,18,9,0 days 00:01:24.253000,1,5
26,1065,844,6,8,6,0,18,18,0 days 00:01:24.677000,1,8
27,1065,832,6,7,7,0,18,8,0 days 00:01:24.918000,1,9
28,1065,841,51,10,8,0,18,10,0 days 00:01:25.126000,1,10
29,1065,815,9,9,9,0,18,12,0 days 00:01:24.211000,1,4
30,1065,840,117,12,10,0,18,8,0 days 00:01:25.349000,1,12
31,1065,4,214,13,11,0,18,8,0 days 00:01:25.225000,1,11
32,1065,20,117,11,12,0,18,8,0 days 00:01:25.493000,1,13
33,1065,839,214,14,13,0,18,8,0 days 00:01:25.613000,1,14
34,1065,849,3,16,14,0,18,9,0 days 00:01:25.711000,1,15
35,1065,847,3,15,15,0,18,15,0 days 00:01:25.835000,1,16
36,1065,852,213,17,16,0,18,18,0 days 00:01:25.847000,1,17
37,1065,853,210,20,17,0,18,7,0 days 00:01:26.613000,1,18
38,1065,9,51,19,18,0,18,12,0 days 00:01:26.772000,1,19
39,1065,854,210,18,19,0,18,7,0 days 00:01:26.819000,1,20
40,1065,842,213,6,20,0,0,0,0 days 00:00:00,3,1
41,1071,822,131,2,1,3,24,8,0 days 00:01:12.300000,1,2
42,1071,830,9,1,2,2,24,9,0 days 00:01:12.114000,1,1
43,1071,832,6,5,3,1,24,13,0 days 00:01:13.167000,1,7
44,1071,815,9,3,4,0,24,13,0 days 00:01:13.110000,1,5
45,1071,1,131,20,5,0,24,5,0 days 00:01:12.357000,1,3
46,1071,846,1,7,6,0,24,8,0 days 00:01:12.994000,1,4
47,1071,844,6,6,7,0,24,4,0 days 00:01:13.140000,1,6
48,1071,842,213,4,8,0,24,4,0 days 00:01:13.342000,1,8
49,1071,839,214,10,9,0,24,11,0 days 00:01:13.615000,1,12
50,1071,20,117,11,10,0,24,5,0 days 00:01:13.558000,1,11
51,1071,817,1,8,11,0,24,9,0 days 00:01:13.463000,1,10
52,1071,4,214,9,12,0,24,4,0 days 00:01:13.397000,1,9
53,1071,841,51,14,13,0,24,11,0 days 00:01:13.627000,1,13
54,1071,840,117,15,14,0,24,9,0 days 00:01:13.666000,1,14
55,1071,852,213,12,15,0,24,11,0 days 00:01:13.747000,1,15
56,1071,849,3,16,16,0,24,7,0 days 00:01:13.934000,1,17
57,1071,847,3,17,17,0,24,14,0 days 00:01:14.056000,1,18
58,1071,8,51,13,18,0,24,9,0 days 00:01:13.900000,1,16
59,1071,854,210,18,19,0,24,9,0 days 00:01:14.387000,1,19
60,1071,853,210,19,20,0,24,6,0 days 00:01:14.583000,1,20
61,1077,830,9,1,1,8,21,14,0 days 00:01:19.154000,1,4
62,1077,844,6,2,2,7,21,11,0 days 00:01:19.044000,1,3
63,1077,815,9,7,3,6,21,14,0 days 00:01:19.012000,1,2
64,1077,832,6,10,4,5,21,14,0 days 00:01:19.251000,1,5
65,1077,846,1,3,5,4,21,9,0 days 00:01:20.030000,1,6
66,1077,817,1,6,6,3,21,12,0 days 00:01:20.328000,1,8
67,1077,822,51,8,7,2,21,9,0 days 00:01:20.219000,1,7
68,1077,825,210,4,8,1,21,6,0 days 00:01:20.557000,1,9
69,1077,4,214,5,9,0,21,10,0 days 00:01:20.639000,1,12
70,1077,854,210,12,10,0,21,15,0 days 00:01:20.567000,1,10
71,1077,847,131,11,11,0,21,19,0 days 00:01:20.756000,1,14
72,1077,852,213,16,12,0,21,20,0 days 00:01:20.909000,1,15
73,1077,20,117,9,13,0,21,8,0 days 00:01:21.044000,1,19
74,1077,1,131,13,14,0,21,9,0 days 00:01:20.663000,1,13
75,1077,840,117,15,15,0,21,14,0 days 00:01:20.948000,1,16
76,1077,839,214,19,16,0,21,14,0 days 00:01:20.995000,1,17
77,1077,842,213,17,17,0,21,18,0 days 00:01:20.599000,1,11
78,1077,848,3,20,18,0,21,14,0 days 00:01:21.020000,1,18
79,1077,849,3,18,19,0,21,16,0 days 00:01:21.437000,1,20
80,1077,855,51,0,20,0,0,0,0 days 00:00:00,31,1
81,1084,830,9,1,1,8,23,5,0 days 00:01:08.455000,1,4
82,1084,844,6,2,2,7,23,4,0 days 00:01:08.321000,1,2
83,1084,832,6,3,3,6,23,4,0 days 00:01:08.409000,1,3
84,1084,847,131,4,4,5,23,4,0 days 00:01:08.979000,1,5
85,1084,815,9,13,5,4,23,14,0 days 00:01:09.137000,1,6
86,1084,839,214,5,6,3,23,4,0 days 00:01:09.384000,1,8
87,1084,825,210,6,7,2,23,4,0 days 00:01:09.232000,1,7
88,1084,1,131,9,8,1,23,7,0 days 00:01:09.516000,1,10
89,1084,854,210,7,9,0,23,4,0 days 00:01:09.457000,1,9
90,1084,822,51,12,10,0,23,4,0 days 00:01:09.674000,1,11
91,1084,846,1,15,11,0,23,8,0 days 00:01:09.909000,1,12
92,1084,817,1,16,12,0,23,8,0 days 00:01:09.996000,1,13
93,1084,840,117,17,13,0,23,4,0 days 00:01:10.295000,1,17
94,1084,855,51,18,14,0,23,11,0 days 00:01:10.165000,1,14
95,1084,842,213,10,15,0,23,4,0 days 00:01:10.409000,1,20
96,1084,848,3,11,16,0,23,5,0 days 00:01:10.367000,1,19
97,1084,852,213,14,17,0,23,4,0 days 00:01:10.267000,1,15
98,1084,849,3,19,18,0,23,4,0 days 00:01:10.284000,1,16
99,1084,20,117,20,19,0,21,4,0 days 00:01:10.317000,130,18
100,1084,4,214,8,20,0,0,0,0 days 00:00:00,10,1
101,1095,847,131,3,1,8,24,4,0 days 00:01:14.233000,1,1
102,1095,832,6,5,2,7,24,2,0 days 00:01:14.522000,1,4
103,1095,1,131,8,3,6,24,3,0 days 00:01:14.317000,1,2
104,1095,830,9,2,4,5,24,5,0 days 00:01:14.507000,1,3
105,1095,815,9,9,5,4,24,5,0 days 00:01:14.699000,1,5
106,1095,844,6,10,6,3,24,4,0 days 00:01:15.236000,1,8
107,1095,846,1,4,7,2,24,4,0 days 00:01:15.380000,1,10
108,1095,825,210,1,8,1,24,2,0 days 00:01:15.110000,1,7
109,1095,20,117,13,9,0,24,4,0 days 00:01:15.451000,1,13
110,1095,842,213,12,10,0,24,3,0 days 00:01:15.290000,1,9
111,1095,817,1,14,11,0,24,5,0 days 00:01:15.385000,1,11
112,1095,854,210,20,12,0,24,5,0 days 00:01:15.771000,1,15
113,1095,855,51,17,13,0,24,7,0 days 00:01:15.765000,1,14
114,1095,822,51,18,14,0,24,8,0 days 00:01:15.980000,1,16
115,1095,852,213,19,15,0,24,4,0 days 00:01:16.413000,1,19
116,1095,840,117,15,16,0,24,4,0 days 00:01:15.425000,1,12
117,1095,839,214,6,17,0,24,5,0 days 00:01:16.097000,1,18
118,1095,4,214,7,18,0,24,5,0 days 00:01:14.764000,1,6
119,1095,849,3,16,19,0,24,4,0 days 00:01:16.525000,1,20
120,1095,848,3,11,20,0,12,4,0 days 00:01:15.998000,31,17
121,1101,815,9,2,1,8,17,11,0 days 00:01:43.616000,1,3
122,1101,844,6,1,2,7,17,12,0 days 00:01:43.646000,1,4
123,1101,830,9,3,3,6,17,10,0 days 00:01:43.723000,1,5
124,1101,847,131,4,4,5,17,10,0 days 00:01:44.409000,1,7
125,1101,832,6,5,5,4,17,11,0 days 00:01:44.398000,1,6
126,1101,4,117,8,6,3,17,12,0 days 00:01:44.544000,1,9
127,1101,1,131,6,7,2,17,8,0 days 00:01:44.601000,1,10
128,1101,840,117,9,8,1,17,14,0 days 00:01:44.855000,1,12
129,1101,848,3,7,9,0,17,10,0 days 00:01:44.915000,1,13
130,1101,857,1,11,10,0,17,8,0 days 00:01:44.776000,1,11
131,1101,825,210,13,11,0,17,14,0 days 00:01:45.349000,1,15
132,1101,855,51,14,12,0,17,16,0 days 00:01:45.766000,1,16
133,1101,842,214,17,13,0,17,12,0 days 00:01:45.883000,1,18
134,1101,856,213,18,14,0,17,17,0 days 00:01:45.768000,1,17
135,1101,807,210,12,15,0,17,8,0 days 00:01:45.971000,1,19
136,1101,822,51,15,16,0,17,9,0 days 00:01:46.277000,1,20
137,1101,846,1,10,17,0,17,15,0 days 00:01:44.484000,1,8
138,1101,839,214,0,18,0,17,15,0 days 00:01:45.090000,1,14
139,1101,852,213,16,19,0,2,0,0 days 00:00:00,130,1
140,1101,858,3,0,20,0,0,0,0 days 00:00:00,3,1
141,1107,830,9,1,1,8,24,19,0 days 00:01:14.292000,1,12
142,1107,815,9,2,2,7,24,16,0 days 00:01:15.492000,1,15
143,1107,832,6,5,3,6,24,16,0 days 00:01:15.457000,1,14
144,1107,840,117,7,4,5,24,23,0 days 00:01:15.531000,1,17
145,1107,4,117,6,5,4,24,18,0 days 00:01:14.978000,1,13
146,1107,807,210,4,6,3,24,24,0 days 00:01:10.180000,1,1
147,1107,839,214,8,7,2,24,22,0 days 00:01:15.512000,1,16
148,1107,847,131,15,8,1,24,23,0 days 00:01:10.385000,1,3
149,1107,846,1,3,9,0,24,19,0 days 00:01:15.627000,1,18
150,1107,1,131,18,10,0,24,24,0 days 00:01:10.775000,1,6
151,1107,857,1,17,11,0,24,24,0 days 00:01:10.274000,1,2
152,1107,844,6,9,12,0,24,24,0 days 00:01:10.686000,1,5
153,1107,848,3,11,13,0,24,24,0 days 00:01:11.635000,1,9
154,1107,825,210,10,14,0,24,23,0 days 00:01:10.539000,1,4
155,1107,842,214,12,15,0,24,22,0 days 00:01:16.109000,1,19
156,1107,852,213,13,16,0,24,23,0 days 00:01:11.363000,1,8
157,1107,856,213,14,17,0,24,22,0 days 00:01:11.701000,1,10
158,1107,858,3,20,18,0,24,21,0 days 00:01:11.829000,1,11
159,1107,855,51,16,19,0,24,22,0 days 00:01:11.305000,1,7
160,1107,822,51,0,20,0,24,22,0 days 00:01:16.758000,1,20
161,1110,830,9,1,1,8,11,6,0 days 00:01:58.943000,1,2
162,1110,857,1,2,2,7,11,2,0 days 00:02:00.360000,1,3
163,1110,842,214,6,3,6,11,6,0 days 00:02:01.857000,1,6
164,1110,832,6,3,4,5,11,7,0 days 00:02:01.472000,1,5
165,1110,844,6,4,5,4,11,7,0 days 00:02:02.635000,1,11
166,1110,846,1,5,6,3,11,8,0 days 00:02:02.085000,1,9
167,1110,1,131,7,7,2,11,7,0 days 00:02:00.920000,1,4
168,1110,847,131,10,8,1,11,10,0 days 00:02:01.935000,1,7
169,1110,839,214,9,9,0,11,6,0 days 00:02:03.061000,1,13
170,1110,817,213,11,10,0,11,8,0 days 00:02:02.967000,1,12
171,1110,840,117,14,11,0,11,6,0 days 00:02:03.356000,1,14
172,1110,848,3,12,12,0,11,6,0 days 00:02:03.674000,1,18
173,1110,822,51,17,13,0,11,6,0 days 00:02:03.595000,1,17
174,1110,825,210,18,14,0,11,6,0 days 00:02:03.965000,1,19
175,1110,855,51,19,15,0,11,6,0 days 00:02:04.760000,1,20
176,1110,858,3,13,16,0,11,6,0 days 00:02:03.482000,1,16
177,1110,807,210,20,17,0,11,6,0 days 00:02:03.472000,1,15
178,1110,852,213,16,18,0,11,7,0 days 00:02:02.080000,1,8
179,1110,815,9,8,19,0,8,2,0 days 00:02:02.516000,130,10
180,1110,4,117,15,20,0,2,0,0 days 00:00:00,3,1
